"Step","llama3-8b-baseline - train/ploss_6","llama3-8b-baseline - train/ploss_6__MIN","llama3-8b-baseline - train/ploss_6__MAX","llama3-8b-ours - train/ploss_6","llama3-8b-ours - train/ploss_6__MIN","llama3-8b-ours - train/ploss_6__MAX"
"10","1.3044501543045044","1.3044501543045044","1.3044501543045044","1.304471731185913","1.304471731185913","1.304471731185913"
"20","2.0183258056640625","2.0183258056640625","2.0183258056640625","2.018324851989746","2.018324851989746","2.018324851989746"
"30","2.372091770172119","2.372091770172119","2.372091770172119","2.3720927238464355","2.3720927238464355","2.3720927238464355"
"40","3.4298439025878906","3.4298439025878906","3.4298439025878906","3.42984676361084","3.42984676361084","3.42984676361084"
"50","2.2582602500915527","2.2582602500915527","2.2582602500915527","2.2582602500915527","2.2582602500915527","2.2582602500915527"
"60","2.5742709636688232","2.5742709636688232","2.5742709636688232","2.574183225631714","2.574183225631714","2.574183225631714"
"70","2.1604878902435303","2.1604878902435303","2.1604878902435303","2.160254955291748","2.160254955291748","2.160254955291748"
"80","1.5549949407577515","1.5549949407577515","1.5549949407577515","1.5548770427703857","1.5548770427703857","1.5548770427703857"
"90","2.288691282272339","2.288691282272339","2.288691282272339","2.2882370948791504","2.2882370948791504","2.2882370948791504"
"100","2.5803897380828857","2.5803897380828857","2.5803897380828857","2.5803442001342773","2.5803442001342773","2.5803442001342773"
"110","1.453359603881836","1.453359603881836","1.453359603881836","1.4507999420166016","1.4507999420166016","1.4507999420166016"
"120","2.0518739223480225","2.0518739223480225","2.0518739223480225","2.0502266883850098","2.0502266883850098","2.0502266883850098"
"130","1.0729973316192627","1.0729973316192627","1.0729973316192627","1.0735797882080078","1.0735797882080078","1.0735797882080078"
"140","2.046253204345703","2.046253204345703","2.046253204345703","2.0422019958496094","2.0422019958496094","2.0422019958496094"
"150","1.7048381567001343","1.7048381567001343","1.7048381567001343","1.6993459463119507","1.6993459463119507","1.6993459463119507"
"160","1.5454126596450806","1.5454126596450806","1.5454126596450806","1.5384302139282227","1.5384302139282227","1.5384302139282227"
"170","1.900277853012085","1.900277853012085","1.900277853012085","1.8914490938186646","1.8914490938186646","1.8914490938186646"
"180","1.9096264839172363","1.9096264839172363","1.9096264839172363","1.9026901721954346","1.9026901721954346","1.9026901721954346"
"190","1.6848337650299072","1.6848337650299072","1.6848337650299072","1.6845752000808716","1.6845752000808716","1.6845752000808716"
"200","1.6047674417495728","1.6047674417495728","1.6047674417495728","1.6058950424194336","1.6058950424194336","1.6058950424194336"
"210","1.0723536014556885","1.0723536014556885","1.0723536014556885","1.0643374919891357","1.0643374919891357","1.0643374919891357"
"220","1.1056557893753052","1.1056557893753052","1.1056557893753052","1.1057621240615845","1.1057621240615845","1.1057621240615845"
"230","2.218965530395508","2.218965530395508","2.218965530395508","2.216459274291992","2.216459274291992","2.216459274291992"
"240","1.3004107475280762","1.3004107475280762","1.3004107475280762","1.2926703691482544","1.2926703691482544","1.2926703691482544"
"250","1.6124297380447388","1.6124297380447388","1.6124297380447388","1.6133408546447754","1.6133408546447754","1.6133408546447754"
"260","1.2124371528625488","1.2124371528625488","1.2124371528625488","1.209075689315796","1.209075689315796","1.209075689315796"
"270","1.7089256048202515","1.7089256048202515","1.7089256048202515","1.7086849212646484","1.7086849212646484","1.7086849212646484"
"280","1.8243502378463745","1.8243502378463745","1.8243502378463745","1.8239647150039673","1.8239647150039673","1.8239647150039673"
"290","1.7989003658294678","1.7989003658294678","1.7989003658294678","1.783347487449646","1.783347487449646","1.783347487449646"
"300","1.075005054473877","1.075005054473877","1.075005054473877","1.0741621255874634","1.0741621255874634","1.0741621255874634"
"310","0.9992239475250244","0.9992239475250244","0.9992239475250244","1.0006048679351807","1.0006048679351807","1.0006048679351807"
"320","1.4482955932617188","1.4482955932617188","1.4482955932617188","1.444546103477478","1.444546103477478","1.444546103477478"
"330","1.5287752151489258","1.5287752151489258","1.5287752151489258","1.5294525623321533","1.5294525623321533","1.5294525623321533"
"340","1.337323546409607","1.337323546409607","1.337323546409607","1.3228447437286377","1.3228447437286377","1.3228447437286377"
"350","1.7118347883224487","1.7118347883224487","1.7118347883224487","1.7153700590133667","1.7153700590133667","1.7153700590133667"
"360","1.7199984788894653","1.7199984788894653","1.7199984788894653","1.7196682691574097","1.7196682691574097","1.7196682691574097"
"370","1.5197614431381226","1.5197614431381226","1.5197614431381226","1.521572470664978","1.521572470664978","1.521572470664978"
"380","1.6052813529968262","1.6052813529968262","1.6052813529968262","1.5927356481552124","1.5927356481552124","1.5927356481552124"
"390","1.3963994979858398","1.3963994979858398","1.3963994979858398","1.3860338926315308","1.3860338926315308","1.3860338926315308"
"400","1.3843287229537964","1.3843287229537964","1.3843287229537964","1.3877898454666138","1.3877898454666138","1.3877898454666138"
"410","0.8889139890670776","0.8889139890670776","0.8889139890670776","0.8860621452331543","0.8860621452331543","0.8860621452331543"
"420","1.2116259336471558","1.2116259336471558","1.2116259336471558","1.212775707244873","1.212775707244873","1.212775707244873"
"430","1.2405309677124023","1.2405309677124023","1.2405309677124023","1.2407467365264893","1.2407467365264893","1.2407467365264893"
"440","1.1280206441879272","1.1280206441879272","1.1280206441879272","1.1288318634033203","1.1288318634033203","1.1288318634033203"
